Date,Open,High,Low,Close,Volume,MA_10,MA_30,K,D,covid
2020-10-07,12667.50977,12774.36035,12619.80957,12746.37012,2873000.0,12517.166113999972,12669.148731333307,91.01825603056447,85.24062731283306,2
2020-10-08,12832.54004,12887.19043,12818.00977,12887.19043,3427200.0,12541.334179999973,12673.44674566664,97.12307479678415,92.48661938230043,1
2020-10-12,12959.15039,12997.79004,12898.88965,12955.91016,3714400.0,12578.537207999972,12677.534082999973,94.37640356076305,94.1725781293709,5
2020-10-13,12988.44043,12994.66016,12857.09961,12947.12988,3354400.0,12646.812207999974,12682.528093333309,92.61597656770256,94.70515164175026,1
2020-10-14,12927.08984,12960.0,12895.79004,12919.30957,3672900.0,12715.452148999973,12688.876758666644,85.69494261410523,90.89577424752396,0
2020-10-15,12892.29004,12909.11035,12786.25977,12827.82031,3580300.0,12751.958202999973,12696.755762333309,61.82720282690148,80.04604066957009,1
2020-10-16,12814.16016,12896.29981,12750.37012,12750.37012,3718400.0,12780.222167999973,12698.325423999973,32.961486563836296,60.16121066828134,4
2020-10-19,12803.32031,12911.41016,12803.32031,12908.33984,2971300.0,12819.495116999973,12705.286751999976,28.104127914935532,40.96427243522477,5
2020-10-20,12889.99023,12917.75,12862.37012,12862.37012,2623800.0,12850.904101999973,12708.766764999973,39.36410673967573,33.47657373948285,4
2020-10-21,12889.87988,12942.12012,12846.41992,12877.25,3419400.0,12868.206054999973,12716.743424999973,61.420583054321604,42.96293923631129,0
2020-10-22,12854.96973,12917.03027,12827.40039,12917.03027,3683000.0,12885.272069999974,12727.26442099997,68.83741981153531,56.540703201844536,4
2020-10-23,12945.12012,12963.25977,12875.23047,12898.82031,3531700.0,12886.435057999974,12735.106445666635,70.9316180714831,67.06320697911367,0
2020-10-26,12923.54981,12971.58008,12894.17969,12909.03027,4288700.0,12881.747068999974,12745.12145199997,67.74739762033667,69.17214516778536,2
2020-10-27,12867.76953,12884.32031,12821.07031,12875.00977,3583700.0,12874.535057999974,12751.230110999973,50.72156889029886,63.133528194039876,0
2020-10-28,12853.75977,12879.98047,12761.33008,12793.75,3657900.0,12861.979100999974,12755.15677099997,35.958104740416616,51.47569041701772,0
2020-10-29,12687.63965,12699.82031,12583.37012,12662.91016,3741600.0,12845.488085999974,12750.993099333304,23.9154898955728,36.865054508763095,3
2020-10-30,12651.34961,12656.29004,12546.33984,12546.33984,3918600.0,12825.085057999973,12741.016080999969,11.969541137561672,23.94771192451736,1
2020-11-02,12565.32031,12594.33984,12480.66016,12591.30957,2950900.0,12793.382030999974,12728.167740999968,15.966816602291127,17.283949211808864,9
